time_s,position_error_m,momentum_error
1.9002961500419497e-05,4.283795626870361e-05,3.123652848728944e-06
1.9044093451719042e-05,5.112755858596935e-05,5.478979997107216e-06
1.9085225403018588e-05,3.6911937983265514e-05,1.6642578909774777e-05
1.9126357354318133e-05,5.0766403977029286e-05,2.691598206892221e-05
1.916748930561768e-05,3.650314712827436e-05,1.241964436070555e-05
1.9208621256917224e-05,4.867434697726297e-05,2.0216586326469137e-06
1.924975320821677e-05,4.830743345653667e-05,3.0013289094672684e-06
1.9290885159516315e-05,4.1385740585108115e-05,2.653441408451692e-05
1.933201711081586e-05,4.929854172578691e-05,2.88955308565929e-05
1.9373149062115406e-05,3.641581550460203e-05,6.2836612441154295e-06
1.941428101341495e-05,5.151511696732183e-05,5.316428544720935e-06
1.9455412964714497e-05,4.226001153735875e-05,1.647339078280588e-05
1.9496544916014042e-05,4.909116050396434e-05,2.563533825319506e-05
1.9537676867313588e-05,4.264218002211869e-05,8.823646677051394e-06
1.9578808818613133e-05,4.183261040983833e-05,3.853425149746211e-06
1.961994076991268e-05,5.390211928626722e-05,6.144246957137384e-06
1.9661072721212224e-05,3.786277767028904e-05,2.756414005653143e-05
1.970220467251177e-05,5.217128408844274e-05,2.664886953227303e-05
1.9743336623811315e-05,3.6873781301032196e-05,5.553462252187942e-06
1.978446857511086e-05,5.0525922215097854e-05,2.6040437195983964e-06
1.9825600526410406e-05,4.892189430149656e-05,1.6846443723815975e-05
